timestamp,ip_address,access_token,http_method,invoke_path,cookie,accept,content_type,x_forwarded_for,user_agent,response_code
2020-03-18 19:23:54.518248,24.55.64.246,d778faa4-0f49-3ed5-a243-2dded3d83520,GET,news/1/menu,JSESSIONID=xkmt8gtwglixqime1m5lkok68jopur8,application/json,application/json,24.55.64.246,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:54.538569,195.8.8.89,0f945b13-28a1-3224-a755-258a98cb974b,GET,news/1/menu,JSESSIONID=zl37s49odxr86t9ab5w0b9lgkuwkzm0,application/json,application/json,195.8.8.89,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:54.559549,189.141.90.1,a056c7c2-637f-3bfb-88a4-4321464a4a41,GET,news/1/menu,JSESSIONID=w9vmn49qomisgc0tynuolqfb5gz6bbb,application/json,application/json,189.141.90.1,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
2020-03-18 19:23:54.632117,186.179.241.211,4c3167c4-8a14-35da-821a-2ddb2ecf99ef,GET,news/1/menu,JSESSIONID=awv7yk0340me9h5bw3c904zcn6tagla,application/json,application/json,186.179.241.211,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 19:23:54.655376,45.147.163.78,340b5d18-7a64-33ed-957d-0d401498e935,GET,news/1/menu,JSESSIONID=sldb450r9cu9b146t0eguzl0lw2aldt,application/json,application/json,45.147.163.78,"Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.1.3) Gecko/20090913 Firefox/3.5.3",200
2020-03-18 19:23:54.715230,57.91.53.120,65b52782-40fc-35b5-a39d-472f20e9a70d,GET,places/1/menu,JSESSIONID=btbygicjwg76j4wdw74eidtp650palc,application/json,application/json,57.91.53.120,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 19:23:54.724904,103.71.204.97,6faf7bdc-d601-334b-abab-841b36cf0c6a,GET,news/1/menu,JSESSIONID=uvm9r5cbuuxdsk1s6bwx06o0l0thhit,application/json,application/json,103.71.204.97,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:54.729129,46.122.0.222,c35b0cfd-7232-3a41-a753-b315b6e8266a,GET,news/1/menu,JSESSIONID=d4kir3bkwko9w4l7d09vrlquso3dk8t,application/json,application/json,46.122.0.222,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 19:23:54.731281,178.219.49.85,d86af9f8-4677-372c-a384-1e0ebdf7aa00,GET,places/1/menu,JSESSIONID=qd2z6zizlyq2lq4o553pqgltlra4tiy,application/json,application/json,178.219.49.85,"Mozilla/4.0 (compatible; MSIE 6.1; Windows XP)",200
2020-03-18 19:23:54.809360,84.227.249.99,92ad709f-2256-37cf-8f48-c270f498791a,GET,news/1/menu,JSESSIONID=i95xrodu6v1d06oon6mooiup31rom7j,application/json,application/json,84.227.249.99,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 19:23:54.881656,154.73.161.124,8830b796-bf5b-3add-982c-efbb71aef54b,GET,cricket/1/menu,JSESSIONID=89pfk9h7ac9jmienvw6uiheli0vlxnj,application/json,application/json,154.73.161.124,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:54.891483,105.11.188.205,e1444960-a666-38da-8725-d23af69b9b15,GET,news/1/menu,JSESSIONID=57rg5ti55cwhv63sjynzmkwi2iz1wmr,application/json,application/json,105.11.188.205,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:54.907331,103.13.33.182,96973058-2617-3ccc-8e85-c33d33bdb98d,GET,places/1/menu,JSESSIONID=aysu20p6xcz0a4nprz5isjws417imus,application/json,application/json,103.13.33.182,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 19:23:54.991605,103.7.57.235,e77d88fd-16fb-3732-ba9d-a1eed3bb816c,GET,news/1/menu,JSESSIONID=ffyq14tq20wlcp4wnr5n27r2rd9gzkp,application/json,application/json,103.7.57.235,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 19:23:55.008677,24.55.64.246,d778faa4-0f49-3ed5-a243-2dded3d83520,GET,places/1/menu,JSESSIONID=xkmt8gtwglixqime1m5lkok68jopur8,application/json,application/json,24.55.64.246,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:55.011205,189.141.90.1,a056c7c2-637f-3bfb-88a4-4321464a4a41,GET,places/1/menu,JSESSIONID=w9vmn49qomisgc0tynuolqfb5gz6bbb,application/json,application/json,189.141.90.1,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
2020-03-18 19:23:55.013677,192.31.206.109,187916a6-1bdf-3d96-a45c-aacc7d689c3e,GET,cricket/1/menu,JSESSIONID=sfbbpiybsau6q3llo8o8h1v4lk61q5x,application/json,application/json,192.31.206.109,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
2020-03-18 19:23:55.048412,43.231.113.187,409a729f-5b0b-36f8-8b5f-fc6d5d8c8894,GET,cricket/1/menu,JSESSIONID=wpz6b8k584tjqxub9pc4leppobkvzbl,application/json,application/json,43.231.113.187,"Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.1.3) Gecko/20090913 Firefox/3.5.3",200
2020-03-18 19:23:55.074940,5.36.0.48,492dbc50-ad51-32ad-881a-30eac8252085,GET,cricket/1/menu,JSESSIONID=qxt9qzw0tv7z9mobx7y72c59u9xni9k,application/json,application/json,5.36.0.48,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
2020-03-18 19:23:55.098222,103.53.26.237,5fde150a-960a-3561-94dd-12d4cf7ade2e,GET,cricket/1/menu,JSESSIONID=knmokofqxr6x06osdgze5gc9xrzl8de,application/json,application/json,103.53.26.237,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/4.0.219.6 Safari/532.1",200
2020-03-18 19:23:55.101441,196.129.106.255,f2020d5b-dce0-32a8-96ea-c826f9208973,GET,places/1/menu,JSESSIONID=55js6dvqlwbtdwnlt4zjjs5y2o89880,application/json,application/json,196.129.106.255,"Mozilla/5.0 (Windows; U; MSIE 7.0; Windows NT 6.0; en-US)",200
2020-03-18 19:23:55.136223,105.27.100.71,b351b325-97e5-393c-aa39-90bb7f227f67,GET,places/1/menu,JSESSIONID=r3ahjfet8y37yz9sloya2rv0qzzfc9r,application/json,application/json,105.27.100.71,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:55.169361,186.179.241.211,4c3167c4-8a14-35da-821a-2ddb2ecf99ef,GET,places/1/menu,JSESSIONID=awv7yk0340me9h5bw3c904zcn6tagla,application/json,application/json,186.179.241.211,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 19:23:55.173093,148.66.71.182,b67f2856-05ee-3a31-885b-04d7aa3be1b5,GET,cricket/1/menu,JSESSIONID=0fbeg5zvjmpp0t6sgy6pjj5zo2n2q8s,application/json,application/json,148.66.71.182,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:55.179333,93.185.23.70,74f323f5-ffb7-3f7d-9260-36371daf7770,GET,cricket/1/menu,JSESSIONID=iipcbt0ov90zlmli6abq7s9jn5iqqo8,application/json,application/json,93.185.23.70,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3 (.NET CLR 3.5.30729)",200
2020-03-18 19:23:55.184153,93.187.0.93,5238f93c-08d7-3269-8ad2-2cd430350483,GET,places/1/menu,JSESSIONID=ke7wyg237y2gtfdd7taxzl5ynz9wqez,application/json,application/json,93.187.0.93,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.1) Gecko/20090718 Firefox/3.5.1",200
2020-03-18 19:23:55.204242,195.8.8.89,0f945b13-28a1-3224-a755-258a98cb974b,GET,places/1/menu,JSESSIONID=zl37s49odxr86t9ab5w0b9lgkuwkzm0,application/json,application/json,195.8.8.89,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; InfoPath.2)",200
2020-03-18 19:23:55.205610,190.197.124.208,d4ea0ac8-475b-32b5-bdee-d89adf9ec76b,GET,places/1/menu,JSESSIONID=hzhwqhrhyi0a6zzxu4ob9rfj23fufhq,application/json,application/json,190.197.124.208,"Mozilla/4.0 (compatible; MSIE 6.1; Windows XP)",200
2020-03-18 19:23:55.207409,192.77.97.75,8322c386-244a-3553-a7b9-0bd40b0ee902,GET,places/1/menu,JSESSIONID=m8fehrxz0go9d2wf9xpwftkl8lw3dpg,application/json,application/json,192.77.97.75,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/4.0.219.6 Safari/532.1",200
2020-03-18 19:23:55.256304,41.109.117.217,d73208d8-01de-3bab-9ae7-124a535a1875,GET,cricket/1/menu,JSESSIONID=vqcbqyou0p8ujcge4m5itix8hbdujwm,application/json,application/json,41.109.117.217,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",200
2020-03-18 19:23:55.258955,203.99.255.88,cfb86225-7245-3837-9589-76b252be3d2a,GET,places/1/menu,JSESSIONID=2itw2nt1vd1olksz88pm6ms19heisla,application/json,application/json,203.99.255.88,"Opera/9.80 (Windows NT 5.2; U; ru) Presto/2.5.22 Version/10.51",200
2020-03-18 19:23:55.282938,197.231.202.212,fe2b5fea-75de-3cc8-bc99-d9f68987d8b5,GET,places/1/menu,JSESSIONID=wknjxe5t908usssphzy3rnvzryxpad8,application/json,application/json,197.231.202.212,"Opera/9.80 (Windows NT 5.2; U; ru) Presto/2.5.22 Version/10.51",200
